Failure_Log,Failure_Type
java.lang.NullPointerException,Java
"Exception in thread ""main"" java.lang.NumberFormatException: For input string:",Java
java.lang.IllegalArgumentException: Argument is of an illegal type:,Java
"Exception in thread ""main"" java.lang.RuntimeException:",Java
"Exception in thread ""main"" java.lang.IllegalStateException:",Java
"Exception in thread ""main"" java.lang.NoSuchMethodError:",Java
"Exception in thread ""main"" java.lang.ClassCastException:",Java
java.text.ParseException:,Java
java.lang.reflect.InvocationTargetException,Java
"Exception in thread ""main"" java.lang.ArithmeticException:",Java
"Exception in thread ""main"" ArrayIndexOutOfBoundsException:",Java
"""main"" java.lang.NoClassDefFoundError:",Java
I/O exception (java.net.SocketException) caught when processing request: Software caused connection abort: recv failed,Java
"Unhandled exception type Interrupted Exception""",Java
java.lang.NoSuchFieldError:,Java
java.lang.StringIndexOutOfBoundsException: String index out of range:,Java
"java.text.ParseException: Unparseable date: """"",Java
ÿException during pool initialization: ERROR: SQLParseException:,DB
java.sql.SQLException: ORA-01013: user requested cancel of current operation,DB
org.apache.calcite.sql.validate.SqlValidatorException SEVERE: org.apache.calcite.sql.validate.SqlValidatorException:ÿTable not found,DB
SQLActionException[SQLParseException: Cannot cast 'POINT,DB
ÿException during pool initialization: ERROR: SQLParseException:,DB
java.sql.SQLException: ORA-01013: user requested cancel of current operation,DB
org.apache.calcite.sql.validate.SqlValidatorException SEVERE: org.apache.calcite.sql.validate.SqlValidatorException:ÿTable not found,DB
SQLActionException[SQLParseException: Cannot cast 'POINT,DB
com.mongodb.embedded.client.MongoClientEmbeddedException: The mongo embedded library could not be initialized,DB
com.mongodb.MongoClientException: Sessions are not supported by the MongoDB cluster to which this client is connected at com.mongodb.MongoClient.startSession(MongoClient.java:555),DB
com.mongodb.MongoExecutionTimeoutException: operation exceeded time limit,DB
Caused by: com.mongodb.MongoIncompatibleDriverException: This version of the driver is not compatible with one or more of the servers to which it is connected: ClusterDescription,DB
"Exception in thread ""main"" com.mongodb.MongoInternalException: DBPort.findOne failed at com.mongodb.DBPort.findOne",DB
com.mongodb.MongoInterruptedException: A driver operation has been interrupted,DB
com.mongodb.MongoSocketException: integrationcourse-7bsmm.mongodb.net at com.mongodb.ServerAddress.getSocketAddresses,DB
"Bulk write operation error on server db2:27017. Write errors:[BulkWriteError{index=0, code=16837, message='Cannot update 'version' and 'version' at the same time', details={ }}]. . Stacktrace follows:",DB
MongoDB.Driver.MongoConfigurationException was unhandled,DB
com.mongodb.MongoSecurityException: Exception authenticating MongoCredential,DB
"Exception in thread ""pool-1-thread-301"" com.mongodb.MongoWaitQueueFullException: Too many threads are already waiting for a connection. Max number of threads (maxWaitQueueSize) of 500 has been exceeded. at com.mongodb.PooledConnectionProvider.get(PooledConnectionProvider.java:70) at com.mongodb.DefaultServer.getConnection(DefaultServer.java:73)",DB
Caused by: com.mongodb.MongoIncompatibleDriverException: This version of the driver is not compatible with one or more of the servers to which it is connected:,DB
"Exception in thread ""main"" com.mongodb.MongoNotPrimaryException:",DB
ERROR Exception when executing agent aggregation/automationCleanupService Exception: MongoDB.Driver.MongoQueryException Message:,DB
com.mongodb.MongoSocketReadTimeoutException: Timeout while receiving message,DB
com.mongodb.MongoSocketWriteException: Exception sending message,DB
"Exception in thread ""main"" com.mongodb.MongoTimeoutException: Timed out after 30000 ms while waiting to connect. Client view of cluster state is",DB
com.mongodb.MongoWriteException:,DB
com.mongodb.MongoException$Network: Read operation to server cs-mongo-mongo-west-t:3306 failed on database mdb  at com.mongodb.DBTCPConnector.innerCall(DBTCPConnector.java:253),DB
org.springframework.data.mongodb.UncategorizedMongoDbException: Out of semaphores to get db connection; nested exception is com.mongodb.DBPortPool$ SemaphoresOut:,DB
com.mongodb.MongoException$CursorNotFound: cursor not found on server,DB
"Exception in thread ""main"" com.mongodb.MongoException$DuplicateKey:ÿ",DB
com.mongodb.MongoSocketOpenException: Exception opening socket,DB
The Application is down,Application
The Application has crashed,Application
Application is taking too much time to load,Application
"Traffic of application is huge, therefore application couldn?t be access further",Application
Application is on downtime,Application
java.lang.AssertionError: expected [5] but found [5],Application
"java.lang.AssertionError: expected [false] but found [true]
 at org.testng.Assert.fail(Assert.java:97)
 at org.testng.Assert.assertEqualsImpl(Assert.java:136)
 at org.testng.Assert.assertEquals(Assert.java:118)
 at org.testng.Assert.assertEquals(Assert.java:751)
 at org.testng.Assert.assertEquals(Assert.java:761)",Application
"java.lang.AssertionError: Failed
 at org.testng.Assert.fail(Assert.java:97)",Application
"java.lang.AssertionError: Failed
 at org.junit.Assert.fail(Assert.java:88)",Application
Failed to load the Application,Application
"exceptionÿaiohttp.web.HTTPClientError A base class for the category, a subclass of HTTPException",Environment
"exceptionÿaiohttp.web.HTTPBadRequest An exception for 400 Bad Request, a subclass of HTTPClientError",Environment
"exception aiohttp.web.HTTPUnauthorized An exception for 401 Unauthorized, a subclass of HTTPClientError",Environment
"exception aiohttp.web.HTTPForbidden An exception for 403 Forbidden, a subclass of HTTPClientError",Environment
"exception aiohttp.web.HTTPMethodNotAllowed(method, allowed_methods, *, headers=None, reason=None, text=None, content_type=None)
An exception for 405 Method Not Allowed, a subclass of HTTPClientError",Environment
"exception aiohttp.web.HTTPNotFound
An exception for 404 Not Found, a subclass of HTTPClientError",Environment
"exception aiohttp.web.HTTPRequestTimeout
An exception for 408 Request Timeout, a subclass of HTTPClientError",Environment
"exception aiohttp.web.HTTPServerError
A base class for the category, a subclass of HTTPException",Environment
"exception aiohttp.web.HTTPInternalServerError
An exception for 500 Server got itself in trouble, a subclass of HTTPServerError",Environment
"exception aiohttp.web.HTTPNotImplemented
An exception for 501 Server does not support this operation, a subclass of HTTPServerError",Environment
"exception aiohttp.web.HTTPBadGateway
An exception for 502 Invalid responses from another server/proxy, a subclass of HTTPServerError",Environment
"exception aiohttp.web.HTTPServiceUnavailable
An exception for 503 The server cannot process the request due to a high load, a subclass of HTTPServerError",Environment
"exception aiohttp.web.HTTPGatewayTimeout
An exception for 504 The gateway server did not receive a timely response, a subclass of HTTPServerError",Environment
Iteration failed to execution,Data
SubIteration has issues,Data
Iteration returned wrong input,Data
Input data is not valid,Data
Test Data Error: specified coloumn doesn?t exist,Data
All Iteration are skipped,Data
cucumber.runtime.CucumberException: No CucumberOptions annotation,Cucumber
Cucumber Exception: java.lang.ClassNotFoundException: cucumber.io.ResourceLoader,Cucumber
"at cucumber.runtime.Utils$1.call(Utils.java:26)
 at cucumber.runtime.Timeout.timeout(Timeout.java:16)
 at cucumber.runtime.Utils.invoke(Utils.java:20)
 at cucumber.runtime.java.JavaHookDefinition.execute(JavaHookDefinition.java:65)
 at cucumber.runner.HookDefinitionMatch.runStep(HookDefinitionMatch.java:16)
 at cucumber.runner.TestStep.executeStep(TestStep.java:65)
 at cucumber.runner.TestStep.run(TestStep.java:50)
 at cucumber.runner.TestCase.run(TestCase.java:42)
 at cucumber.runner.Runner.runPickle(Runner.java:50)
 at io.cucumber.testng.TestNGCucumberRunner.runScenario(TestNGCucumberRunner.java:79)
 at io.cucumber.testng.AbstractTestNGCucumberTests.runScenario(AbstractTestNGCucumberTests.java:24)",Cucumber
cucumber.runtime.DuplicateStepDefinitionException: Duplicate step definitions in,Cucumber
exception java.lang.NoClassDefFoundError: org/junit/internal/AssumptionViolatedException at ,Junit
org.junit.runner.manipulation.NoTestsRemainException,Junit
"org.junit.tests.apt.NotThrowing.MyException will never be thrown, because it isn't declared for method notThrowing. This test will allways fail",Junit
org.testng.TestException:,TestNG
Caused by: org.testng.TestNGException:ÿ,TestNG
"org.testng.TestNGException: 
Two tests in the same suite [LeapDemo App Testing] cannot have the same name: LeapDemo App Automation for single task validation
 at org.testng.xml.internal.XmlSuiteUtils.ensureNoDuplicateTestsArePresent(XmlSuiteUtils.java:67)
 at org.testng.xml.internal.XmlSuiteUtils.validateIfSuitesContainDuplicateTests(XmlSuiteUtils.java:28)
 at org.testng.TestNG.sanityCheck(TestNG.java:975)
 at org.testng.TestNG.run(TestNG.java:1000)",TestNG
org.openqa.selenium.ElementClickInterceptedException: Message:,Selenium
org.openqa.selenium.ElementNotInteractableException: Element is not reachable by keyboard,Selenium
org.openqa.selenium.ElementNotInteractableException: Element is not visible,Selenium
"Exception in thread ""main"" org.openqa.selenium.ElementNotVisibleException: Element is not currently visible and so may not be interacted with Command duration or timeout: 2.05 seconds",Selenium
"Exception in thread ""main"" org.openqa.selenium.JavascriptException: javascript error: Unexpected token '<'
  (Session info: chrome=79.0.3945.130)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:48'
System info: host: 'DESKTOP-6H32JSB', ip: '10.8.2.62', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_231'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 79.0.3945.130, chrome: {chromedriverVersion: 78.0.3904.105 (60e2d8774a81..., userDataDir: C:\Users\user\AppData\Local...}, goog:chromeOptions: {debuggerAddress: localhost:54082}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 7c8b20fbb56364eb89ed96357cca06c4
    at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
    at sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source)
    at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source)
    at java.lang.reflect.Constructor.newInstance(Unknown Source)
    at org.openqa.selenium.remote.http.W3CHttpResponseCodec.createException(W3CHttpResponseCodec.java:187)
    at org.openqa.selenium.remote.http.W3CHttpResponseCodec.decode(W3CHttpResponseCodec.java:122)
    at org.openqa.selenium.remote.http.W3CHttpResponseCodec.decode(W3CHttpResponseCodec.java:49)
    at org.openqa.selenium.remote.HttpCommandExecutor.execute(HttpCommandExecutor.java:158)
    at org.openqa.selenium.remote.service.DriverCommandExecutor.execute(DriverCommandExecutor.java:83)
    at org.openqa.selenium.remote.RemoteWebDriver.execute(RemoteWebDriver.java:552)
    at org.openqa.selenium.remote.RemoteWebDriver.executeScript(RemoteWebDriver.java:489)",Selenium
